"","EtOH1","EtOH2","EtOH3","TAM1","TAM2","TAM3"
"ENSMUSG00000097426",5.30629065909813,6.54201433582856,5.34931817344542,5.25989986558116,6.01439853912215,5.63975790417099
"ENSMUSG00000102135",4.52449275406073,4.86592890070577,4.5421627156547,4.36636332637254,4.84043194981961,4.35984518333378
"ENSMUSG00000100764",5.11789904641836,4.77949281487923,4.65614249629888,4.911830105159,5.21534608472415,5.23739158060274
"ENSMUSG00000100635",4.72687328330185,4.40678677262258,4.8348683072271,4.911830105159,5.16281709484073,5.23739158060274
"ENSMUSG00000100480",5.00724914723996,4.40678677262258,5.55011036161332,5.02593460698238,5.16281709484073,5.19567976058824
"ENSMUSG00000103629",4.63466228005446,5.52677265451899,4.97798225008735,4.61161500144227,5.35805792135243,5.00735020163909
"ENSMUSG00000100025",5.34831376999585,5.71327167717609,4.90968448201237,5.21749403047307,5.6656962604143,5.05824464126509
"ENSMUSG00000051285",11.9323259109114,11.5390685705224,12.0239804237482,12.2752889922025,11.4649142574003,12.1377426380718
"ENSMUSG00000103509",7.55785758000757,8.27775574469451,8.71692542718237,8.31269946180094,7.49136846543142,8.22884301829133
"ENSMUSG00000097797",5.00724914723996,4.40678677262258,4.97798225008735,4.97084813108182,4.91573404637058,4.76398828541881
"ENSMUSG00000039748",5.26246756114791,7.15859188530598,5.75174968528745,5.377401643555,7.29836845800657,5.31590757525715
"ENSMUSG00000057363",10.8285350209242,10.3464166563215,10.6230962091264,10.4578262528838,10.9029509348397,10.393526709699
"ENSMUSG00000100701",4.37985722618506,5.01417981050233,4.5421627156547,4.911830105159,4.84043194981961,4.49638656014834
"ENSMUSG00000100555",5.50150921408718,5.1975530181729,5.47416000717696,5.377401643555,4.91573404637058,4.76398828541881
"ENSMUSG00000038702",11.2143925565855,11.1246936411033,11.1557167588804,11.203912832071,10.7331675447996,11.1114791658516
"ENSMUSG00000033021",11.4237504062641,11.6341445287407,11.2721666168306,11.3352343886912,11.0706099366486,10.9898691259544
"ENSMUSG00000078184",5.30629065909813,5.01417981050233,5.04109451798477,5.07771693066278,5.2651912518188,5.10636829945353
"ENSMUSG00000033007",4.63466228005446,4.56227785852408,4.39244683912818,4.84802125783644,4.3950129704729,4.83256415831522
"ENSMUSG00000102605",4.87996051168635,4.40678677262258,4.02772916284837,4.84802125783644,4.98446887775866,4.6876602569947
"ENSMUSG00000025909",4.87996051168635,5.01417981050233,4.39244683912818,5.12667007264114,6.49593613570182,4.02772916284837
"ENSMUSG00000086235",4.72687328330185,4.77949281487923,4.75149470730567,4.97084813108182,4.3950129704729,5.05824464126509
"ENSMUSG00000103933",5.11789904641836,5.1975530181729,5.20744115553431,5.12667007264114,5.04797917445534,4.76398828541881
"ENSMUSG00000061024",10.1862856545351,9.46827445936488,9.72548476230478,9.71626835369491,10.5772935277045,9.49330874224278
"ENSMUSG00000026374",11.5304745834069,11.0831229194434,11.2249407699457,11.3382558389235,11.5900598174976,11.1610057034177
"ENSMUSG00000026377",10.7014602832818,10.545406776419,10.4029039740941,10.2627558981949,11.2137111084398,10.0944818971269
"ENSMUSG00000099936",4.63466228005446,4.40678677262258,4.39244683912818,4.84802125783644,4.3950129704729,4.83256415831522
"ENSMUSG00000025911",8.38181756711712,8.25111510432535,8.90235946992484,8.28784372021774,6.95425692567641,7.27665027175344
"ENSMUSG00000079671",7.60963488556546,6.98621037899911,8.01093883982166,7.22012116265451,7.43885608572738,7.67304300940502
"ENSMUSG00000067879",5.00724914723996,4.9434503635141,4.97798225008735,5.07771693066278,4.98446887775866,5.10636829945353
"ENSMUSG00000057335",12.987090916101,12.9803239155169,12.7854901950977,12.9322502723217,12.4887043518255,12.808451324501
"ENSMUSG00000104154",5.42762710270944,5.87437064648733,5.62127605398443,5.33970013938851,5.04797917445534,5.05824464126509
"ENSMUSG00000025912",6.66219322912129,7.3731249839513,7.08164535760498,8.00208818674781,8.21643306314154,7.66063573436691
"ENSMUSG00000045210",11.3837120389051,11.3149945456897,11.3419757123618,11.5976868150899,11.4107483599385,11.3556786451103
"ENSMUSG00000041763",11.8598851850469,11.7675925911572,11.5980087745829,11.9894270684902,12.1059920367429,11.5947472545335
"ENSMUSG00000097893",4.52449275406073,4.40678677262258,4.65614249629888,5.12667007264114,4.54576322830658,4.76398828541881
"ENSMUSG00000026504",9.47552016698121,9.6922517844648,9.24177868860343,9.62845812857553,9.09420103514132,9.54287093974916
"ENSMUSG00000103367",6.47906178581481,6.28359094456231,6.42830426165738,5.99206597316022,6.40513141962086,6.98747584278035
"ENSMUSG00000047343",4.94610209025864,4.68058167073231,5.20744115553431,5.21749403047307,4.66051805745012,4.76398828541881
"ENSMUSG00000103251",5.30629065909813,5.2515179510615,5.39257039011131,5.51620787520091,5.04797917445534,5.27741328701119
"ENSMUSG00000091844",4.02772916284837,4.56227785852408,4.5421627156547,4.97084813108182,4.3950129704729,5.10636829945353
"ENSMUSG00000026483",13.8213841121998,13.4530877665084,13.7213328852859,13.9784038461722,14.057545936354,13.5475800618574
"ENSMUSG00000100594",6.05998754637945,5.78030262913257,6.07577554120382,6.6360271072798,6.20257208051542,6.12109529143642
"ENSMUSG00000019699",10.5262433802237,11.0333192748451,10.096723981899,10.9707003785231,10.1996796991509,10.5728225766665
"ENSMUSG00000104391",4.87996051168635,5.52677265451899,4.75149470730567,5.33970013938851,4.66051805745012,4.6876602569947
"ENSMUSG00000102133",4.52449275406073,4.86592890070577,4.8348683072271,4.36636332637254,4.02772916284837,4.76398828541881
"ENSMUSG00000097892",4.80753956318287,4.02772916284837,5.04109451798477,5.07771693066278,5.21534608472415,4.35984518333378
"ENSMUSG00000063659",10.1105607231324,10.0085215365134,9.96523510085596,9.65455925362179,10.0800938713807,9.10218144571485
"ENSMUSG00000026049",6.30483432551072,6.48663616834608,6.42830426165738,6.52388336953841,7.33721705998841,6.44059924346916
"ENSMUSG00000043019",11.8553296127434,11.5913663616251,11.7128116148741,11.8903256908211,12.0589712560712,11.7831648607362
