occurrence_no,record_type,reid_no,flags,collection_no,identified_name,identified_rank,identified_no,difference,accepted_name,accepted_rank,accepted_no,early_interval,late_interval,max_ma,min_ma,reference_no,phylum,class,order,family,genus,lng,lat,cc,state,county,latlng_basis,latlng_precision,geogscale,geogcomments,paleomodel,geoplate,paleoage,paleolng,paleolat,paleomodel2,geoplate2,paleoage2,paleolng2,paleolat2,paleomodel3,geoplate3,paleoage3,paleolng3,paleolat3
1208224,occ,,,156789,Anancus n. sp. defloccatus,species,339762,,Anancus defloccatus,species,339762,Pleistocene,,2.588,0.0117,51404,Chordata,Mammalia,Proboscidea,Gomphotheriidae,Anancus,-97.427498,28.126944,US,Texas,San Patricio,estimated from map,seconds,outcrop,"The locality is described as being about 1 mile north of the bridge on which the St. Louis & Brownsville Railroad crosses the Aransas. It is also about 20 miles southwest of Refugio. Nearer is a town named Sinton, and for convenience the collection will be spoken of as from Sinton.\r\nWPA: ""on the west bank of Aransas River, one mile above the bridge on the Sinton-Refugio Highway."" and: 10 mi. NE of SInton, on R bank of Aransas River, ca. 1 mi. above bridge carrying St. Louis & Brownsville RR.",gplates,101,mid,-97.08,28.35,scotese,135,mid,-97.22,28.16,seton,101,mid,-97.23,28.11
1212773,occ,,,157582,Choerolophodon pentelici,species,90206,,Choerolophodon pentelici,species,90205,Turolian,,8.7,5.333,51833,Chordata,Mammalia,Proboscidea,Choerolophodontidae,Choerolophodon,23.473372,40.034824,GR,Makedonia Thraki,Chalkidiki,based on nearby landmark,6,small collection,"Kryopigi (Kriopigi), Kassandra Peninsula, Chalkidiki, Macedonia, northern Greece",gplates,308,mid,24.2,38.13,scotese,308,mid,23.2,39.76,seton,328,mid,22.23,39.16
1242310,occ,,,163685,Mammut americanum,species,47865,,Mammut americanum,species,46016,Late Pleistocene,,0.126,0.0117,53381,Chordata,Mammalia,Proboscidea,Mammutidae,Mammut,-90.85778,32.31694,US,Mississippi,Warren,estimated from map,5,local area,,gplates,not computable using this model,mid,,,scotese,not computable using this model,mid,,,seton,not computable using this model,mid,,
1242738,occ,,,163790,Mastodon sp.,genus,47929,subjective synonym of,Mammut,genus,43274,Miocene,,23.03,5.333,53418,Chordata,Mammalia,Proboscidea,Mammutidae,Mammut,-91.492226,30.954445,US,Louisiana,,based on political unit,seconds,,,gplates,101,mid,-85.99,33.54,scotese,135,mid,-88.62,31.37,seton,101,mid,-88.5,30.59
1242739,occ,,,163791,Mastodon sp.,genus,47929,subjective synonym of,Mammut,genus,43274,Miocene,,23.03,5.333,53418,Chordata,Mammalia,Proboscidea,Mammutidae,Mammut,-91.494164,30.950832,US,Louisiana,,based on political unit,seconds,,,gplates,101,mid,-85.99,33.53,scotese,135,mid,-88.62,31.36,seton,101,mid,-88.5,30.59
1243011,occ,,,163820,Dibelodon n. sp. tropicus,species,45650,recombined as,Cuvieronius tropicus,species,45650,Late Pliocene,,3.6,2.588,53461,Chordata,Mammalia,Proboscidea,Gomphotheriidae,Cuvieronius,-99.140083,19.910633,MX,México,,based on nearby landmark,6,outcrop,"Tequixquiac, N edge of Valley of México, N of the city of México and town of Zimpango (Zumpango), E of Nochistongo forgo",gplates,104,mid,-98.22,20.61,scotese,104,mid,-98.56,20.03,seton,104,mid,-98.62,19.88
1243012,occ,,,163820,Elephas primigenius,species,46027,recombined as,Mammuthus primigenius,species,46027,Late Pliocene,,3.6,2.588,53461,Chordata,Mammalia,Proboscidea,Elephantidae,Mammuthus,-99.140083,19.910633,MX,México,,based on nearby landmark,6,outcrop,"Tequixquiac, N edge of Valley of México, N of the city of México and town of Zimpango (Zumpango), E of Nochistongo forgo",gplates,104,mid,-98.22,20.61,scotese,104,mid,-98.56,20.03,seton,104,mid,-98.62,19.88
1243598,occ,,,163859,Gomphotherium sp.,genus,43247,,Gomphotherium,genus,43247,Miocene,,23.03,5.333,53495,Chordata,Mammalia,Proboscidea,Gomphotheriidae,Gomphotherium,-93.179169,31.061666,US,Louisiana,,based on political unit,seconds,,,gplates,101,mid,-87.71,33.74,scotese,135,mid,-90.31,31.5,seton,101,mid,-90.17,30.76
1245161,occ,,,164185,Mammuthus primigenius,species,47880,,Mammuthus primigenius,species,46027,Late Pleistocene,,0.126,0.0117,53569,Chordata,Mammalia,Proboscidea,Elephantidae,Mammuthus,152.309998,70.415001,RU,Sakha,,based on nearby landmark,3,outcrop,,gplates,not computable using this model,mid,,,scotese,not computable using this model,mid,,,seton,not computable using this model,mid,,
1263774,occ,,,160739,Miomastodon sp.,genus,43275,subjective synonym of,Zygolophodon,genus,95509,Barstovian,,15.97,13.6,33296,Chordata,Mammalia,Proboscidea,Mammutidae,Zygolophodon,-119.306114,35.267776,US,California,Kern,based on nearby landmark,seconds,basin,Kern County,gplates,130,mid,-111.9,38.39,scotese,130,mid,-114.11,35.15,seton,176,mid,-115.86,36.01
