occurrence_no,record_type,reid_no,flags,collection_no,identified_name,identified_rank,identified_no,difference,accepted_name,accepted_rank,accepted_no,early_interval,late_interval,max_ma,min_ma,reference_no,phylum,class,order,family,genus,lng,lat,cc,state,county,latlng_basis,latlng_precision,geogscale,geogcomments,paleomodel,geoplate,paleoage,paleolng,paleolat,paleomodel2,geoplate2,paleoage2,paleolng2,paleolat2,paleomodel3,geoplate3,paleoage3,paleolng3,paleolat3
138745,occ,,,11798,Serridentinus ? sp.,genus,51518,subjective synonym of,Gomphotherium,genus,43247,Tortonian,,11.62,7.246,10883,Chordata,Mammalia,Proboscidea,Gomphotheriidae,Gomphotherium,102.066666,25.016666,CN,Yunnan,Lufeng,stated in text,minutes,outcrop,"Located about 9 km north of Lufeng, at the southern side of Miaoshanpo-Mountain; IVPP-Point 75033, called section D.",gplates,611,mid,101.5,23.6,scotese,611,mid,101.03,24.39,seton,602,mid,100.92,26.02
138746,occ,,,11798,Tetralophodon cf. exoletus,species,43261,species not entered,Tetralophodon,genus,43261,Tortonian,,11.62,7.246,4196,Chordata,Mammalia,Proboscidea,Gomphotheriidae,Tetralophodon,102.066666,25.016666,CN,Yunnan,Lufeng,stated in text,minutes,outcrop,"Located about 9 km north of Lufeng, at the southern side of Miaoshanpo-Mountain; IVPP-Point 75033, called section D.",gplates,611,mid,101.5,23.6,scotese,611,mid,101.03,24.39,seton,602,mid,100.92,26.02
138747,occ,,,11798,Zygolophodon n. sp. lufengensis,species,43277,species not entered,Zygolophodon,genus,95509,Tortonian,,11.62,7.246,10885,Chordata,Mammalia,Proboscidea,Mammutidae,Zygolophodon,102.066666,25.016666,CN,Yunnan,Lufeng,stated in text,minutes,outcrop,"Located about 9 km north of Lufeng, at the southern side of Miaoshanpo-Mountain; IVPP-Point 75033, called section D.",gplates,611,mid,101.5,23.6,scotese,611,mid,101.03,24.39,seton,602,mid,100.92,26.02
147930,occ,,,13060,Stegodon bombifrons,species,476344,,Stegodon bombifrons,species,476344,Late Miocene,,11.608,5.333,4341,Chordata,Mammalia,Proboscidea,Elephantidae,Stegodon,76.666664,31.533333,IN,Himachal Pradesh,,,minutes,local area,"see map p. 190, 0.5 mi south of Ladhyani village",gplates,501,mid,77.59,27.06,scotese,501,mid,77.67,28.48,seton,501,mid,74.98,29.09
150057,occ,,,13293,Elephas cf. kiangnanensis,species,43264,species not entered,Elephas,genus,43264,Middle Pleistocene,Late Pleistocene,0.781,0.0117,4412,Chordata,Mammalia,Proboscidea,Elephantidae,Elephas,111.566666,22.766666,CN,Guangdong,Luoding,based on nearby landmark,minutes,small collection,"Xiashan Cave, Xiashan River Valley, at the western side of Dayunwu Mountain, 4 km from the Capital of Pingtang District (Southwest of Luoding). Lat long is for Luoding.\n",gplates,not computable using this model,mid,,,scotese,not computable using this model,mid,,,seton,not computable using this model,mid,,
150058,occ,,,13293,Stegodon orientalis,species,43271,species not entered,Stegodon,genus,43271,Middle Pleistocene,Late Pleistocene,0.781,0.0117,4412,Chordata,Mammalia,Proboscidea,Elephantidae,Stegodon,111.566666,22.766666,CN,Guangdong,Luoding,based on nearby landmark,minutes,small collection,"Xiashan Cave, Xiashan River Valley, at the western side of Dayunwu Mountain, 4 km from the Capital of Pingtang District (Southwest of Luoding). Lat long is for Luoding.\n",gplates,not computable using this model,mid,,,scotese,not computable using this model,mid,,,seton,not computable using this model,mid,,
150874,occ,,,13448,Stegodon n. sp. rathiansis,species,43271,species not entered,Stegodon,genus,43271,Late Pliocene,,3.6,2.588,6061,Chordata,Mammalia,Proboscidea,Elephantidae,Stegodon,73.669998,32.990002,PK,"Jhelem, Punjab",Rathian,estimated from map,2,local area,"found ""near Rathian""",gplates,501,mid,74.14,31.39,scotese,501,mid,74.2,31.95,seton,501,mid,73.1,32.09
150875,occ,,,13447,Elephas cf. namadicus,species,476343,,Elephas namadicus,species,476343,Quaternary,Middle Pleistocene,2.588,0.126,6062,Chordata,Mammalia,Proboscidea,Elephantidae,Elephas,77.834724,22.9,IN,"Hoshangabad, Madhya Pradesh",Dongria,stated in text,seconds,local area,"""Around Dongria village"" along the right bank of Narmada River in Hoshangabad district M.P.\r\nJA: originally entered by mistake as being from Pakistan",gplates,501,mid,77.88,22.34,scotese,501,mid,77.87,22.51,seton,501,mid,77.6,22.59
150888,occ,,,13453,Elephas maximus,species,104147,,Elephas maximus,species,104147,Early Pleistocene,,2.588,0.781,6075,Chordata,Mammalia,Proboscidea,Elephantidae,Elephas,76.916664,30.733334,IN,,Nadha,based on nearby landmark,minutes,,"Lat Long based on Chandigarh town, ~7 km form locality",gplates,501,mid,77.15,29.62,scotese,501,mid,77.19,29.98,seton,501,mid,76.5,30.12
150889,occ,,,13454,Stegolophodon n. sp. miyokoae,species,43272,species not entered,Stegolophodon,genus,43272,Early Miocene,,23.03,15.97,6076,Chordata,Mammalia,Proboscidea,Stegodontidae,Stegolophodon,134.233337,35.383331,JP,Miyagi,Sen-An,based on nearby landmark,minutes,,"Lat long based on town of Funaoka, where locality is.",gplates,610,mid,131.33,35.2,scotese,610,mid,131.47,39.29,seton,630,mid,131.83,37.75
150890,occ,,,13456,Palaeoloxodon namadicus,species,108486,"subjective synonym of, species not entered",Elephas,genus,43264,Late Pleistocene,Holocene,0.126,0.0,6077,Chordata,Mammalia,Proboscidea,Elephantidae,Elephas,87.0,23.5,IN,West Bengal,Bankura District,estimated from map,minutes,basin,Geologic and paleontologic reconnaissance of Pleistocene River terraces for a set of basins in western India,gplates,not computable using this model,mid,,,scotese,not computable using this model,mid,,,seton,not computable using this model,mid,,
150918,occ,,,13471,Mammuthus sp.,genus,43266,,Mammuthus,genus,43266,Late Pleistocene,,0.126,0.0117,6079,Chordata,Mammalia,Proboscidea,Elephantidae,Mammuthus,147.5,71.0,RU,Yakutia,,estimated from map,1,outcrop,"on the left bank of the Achchygyi Allaikha River, a left hand tributary of the Indigirka River",gplates,not computable using this model,mid,,,scotese,not computable using this model,mid,,,seton,not computable using this model,mid,,
151449,occ,,,13490,Stegodon n. sp. mediterraneus,species,43271,species not entered,Stegodon,genus,43271,Quaternary,Middle Pleistocene,2.588,0.126,6106,Chordata,Mammalia,Proboscidea,Elephantidae,Stegodon,35.599998,33.0,IL,,,estimated from map,1,local area,"""At the old bridge Jisr Banat Yaqub about 4 km south of Lake Huleh, at present on teh Israel-Syria frontier.""\r\nLake Huleh has since been drained and this article pre-dates Israel's anexation of the Golan Heights.",gplates,508,mid,35.62,32.69,scotese,508,mid,35.52,32.94,seton,508,mid,35.41,32.89
151450,occ,,,13490,Elephas trogontherii,species,159796,recombined as,Mammuthus trogontherii,species,159796,Quaternary,Middle Pleistocene,2.588,0.126,10567,Chordata,Mammalia,Proboscidea,Elephantidae,Mammuthus,35.599998,33.0,IL,,,estimated from map,1,local area,"""At the old bridge Jisr Banat Yaqub about 4 km south of Lake Huleh, at present on teh Israel-Syria frontier.""\r\nLake Huleh has since been drained and this article pre-dates Israel's anexation of the Golan Heights.",gplates,508,mid,35.62,32.69,scotese,508,mid,35.52,32.94,seton,508,mid,35.41,32.89
151807,occ,,,13487,Hypselephas hysudricus,species,233508,"subjective synonym of, species not entered",Elephas,genus,43264,Pleistocene,,2.588,0.0117,6122,Chordata,Mammalia,Proboscidea,Elephantidae,Elephas,78.116669,8.75,IN,Madras,,stated in text,minutes,outcrop,"REcovered from Ayyanidipu, 6.5 km west on the Tuticorin-Palayamcottah road",gplates,501,mid,78.05,8.18,scotese,501,mid,77.99,8.36,seton,501,mid,77.84,8.44
157315,occ,,,13948,Cuvieronius tropicus,species,45410,,Cuvieronius tropicus,species,45650,Pleistocene,,2.588,0.0117,6175,Chordata,Mammalia,Proboscidea,Gomphotheriidae,Cuvieronius,-97.900002,18.616667,MX,Puebla,,estimated from map,minutes,outcrop,"""one kilometer east of Road 455 that connects La Colorada and Tepexi de Rodriquez. On the southern bank of the Rio Axamilpa...""",gplates,104,mid,-97.6,18.85,scotese,104,mid,-97.71,18.65,seton,215,mid,-97.73,18.6
157317,occ,,,13949,Mammuthus sp.,genus,43266,,Mammuthus,genus,43266,Pleistocene,,2.588,0.0117,6175,Chordata,Mammalia,Proboscidea,Elephantidae,Mammuthus,-97.900002,18.616667,MX,Puebla,,estimated from map,minutes,outcrop,"""one kilometer east of Road 455 that connects La Colorada and Tepexi de Rodriquez. On the southern bank of the Rio Axamilpa...""",gplates,104,mid,-97.6,18.85,scotese,104,mid,-97.71,18.65,seton,215,mid,-97.73,18.6
160745,occ,,,14150,Palaeoloxodon namadicus,species,108486,"subjective synonym of, species not entered",Elephas,genus,43264,Early Pleistocene,,2.588,0.781,6256,Chordata,Mammalia,Proboscidea,Elephantidae,Elephas,79.816666,8.283333,LK,Sabaragamuva,,,minutes,,,gplates,502,mid,79.67,7.13,scotese,502,mid,79.54,7.47,seton,502,mid,79.26,7.65
160746,occ,,,14150,Palaeoloxodon sp.,genus,108486,subjective synonym of,Elephas,genus,43264,Early Pleistocene,,2.588,0.781,6256,Chordata,Mammalia,Proboscidea,Elephantidae,Elephas,79.816666,8.283333,LK,Sabaragamuva,,,minutes,,,gplates,502,mid,79.67,7.13,scotese,502,mid,79.54,7.47,seton,502,mid,79.26,7.65
184087,occ,,,18029,Amebelodon sp.,genus,43241,,Amebelodon,genus,43241,Miocene,,23.03,5.333,1003,Chordata,Mammalia,Proboscidea,Gomphotheriidae,Amebelodon,-100.199997,40.299999,US,Nebraska,Furnas,based on political unit,1,small collection,"near Cambridge, 10 mi. S of type quarry for Amebelodon",gplates,101,mid,-94.19,43.34,scotese,101,mid,-97.19,40.83,seton,101,mid,-96.64,40.26
184117,occ,5334.0,,18031,Gomphotherium cf. willistoni,species,46708,subjective synonym of,Trilophodon osborni,species,52204,Barstovian,,15.97,13.6,6294,Chordata,Mammalia,Proboscidea,Gomphotheriidae,Gomphotherium,-98.110001,42.490002,US,Nebraska,Knox,stated in text,2,small collection,"""NW1/4 sec. 23, T. 33 N., R. 3 W., Knox Co."" (Voorhies 1971)",gplates,101,mid,-91.27,45.59,scotese,101,mid,-94.81,43.03,seton,101,mid,-94.12,42.37
184137,occ,5341.0,,18033,Mammut matthewi,species,47868,,Mammut matthewi,species,47937,Hemphillian,,10.3,4.9,6294,Chordata,Mammalia,Proboscidea,Mammutidae,Mammut,-103.800003,42.400002,US,Nebraska,Sioux,based on political unit,1,,Aphelops Draw,gplates,101,mid,-100.53,44.34,scotese,101,mid,-102.06,42.73,seton,101,mid,-101.74,42.39
184138,occ,5342.0,,18033,Gomphotherium sp.,genus,43247,,Gomphotherium,genus,43247,Hemphillian,,10.3,4.9,6294,Chordata,Mammalia,Proboscidea,Gomphotheriidae,Gomphotherium,-103.800003,42.400002,US,Nebraska,Sioux,based on political unit,1,,Aphelops Draw,gplates,101,mid,-100.53,44.34,scotese,101,mid,-102.06,42.73,seton,101,mid,-101.74,42.39
184150,occ,5348.0,,18034,Gomphotherium obscurum,species,46693,,Gomphotherium obscurum,species,47940,Hemphillian,,10.3,4.9,6247,Chordata,Mammalia,Proboscidea,Mammutidae,Mammut,-99.800003,36.099998,US,Oklahoma,Ellis,based on political unit,1,,East Branch of Corn Creek,gplates,101,mid,-96.71,37.93,scotese,101,mid,-98.11,36.41,seton,101,mid,-97.97,36.01
184165,occ,,,18035,Gnathabelodon n. sp. thorpei,species,46671,,Gnathabelodon thorpei,species,46671,Early Clarendonian,,13.6,10.3,1003,Chordata,Mammalia,Proboscidea,Gomphotheriidae,Gnathabelodon,-99.900002,39.0,US,Kansas,Trego,based on political unit,1,,"1/4 mi N, 1 1/2 mi E of Ogallah",gplates,101,mid,-93.99,42.03,scotese,101,mid,-96.91,39.53,seton,101,mid,-96.42,38.95
184253,occ,,,18054,Amebelodon sp.,genus,43241,,Amebelodon,genus,43241,Clarendonian,,13.6,10.3,6193,Chordata,Mammalia,Proboscidea,Gomphotheriidae,Amebelodon,-100.800003,42.799999,US,Nebraska,Cherry,based on political unit,1,,,gplates,101,mid,-95.57,45.5,scotese,101,mid,-98.16,43.26,seton,101,mid,-97.66,42.74
184282,occ,,,18061,Gomphotherium sp.,genus,43247,,Gomphotherium,genus,43247,Clarendonian,,13.6,10.3,3564,Chordata,Mammalia,Proboscidea,Gomphotheriidae,Gomphotherium,-100.800003,42.799999,US,Nebraska,Cherry,based on political unit,1,small collection,,gplates,101,mid,-95.57,45.5,scotese,101,mid,-98.16,43.26,seton,101,mid,-97.66,42.74
184316,occ,,,18063,Amebelodon sp.,genus,43241,,Amebelodon,genus,43241,Clarendonian,,13.6,10.3,1720,Chordata,Mammalia,Proboscidea,Gomphotheriidae,Amebelodon,-101.800003,43.200001,US,South Dakota,Bennett,based on political unit,1,,SW of Martin,gplates,101,mid,-96.58,45.94,scotese,101,mid,-99.16,43.67,seton,101,mid,-98.63,43.17
184391,occ,,,18072,Amebelodon cf. fricki,species,43966,,Amebelodon fricki,species,43966,Hemphillian,,10.3,4.9,6208,Chordata,Mammalia,Proboscidea,Gomphotheriidae,Amebelodon,-100.099998,36.099998,US,Texas,Lipscomb,based on political unit,1,,"S of Wolf Creek, 9 mi NW of Higgins",gplates,101,mid,-97.02,37.94,scotese,101,mid,-98.41,36.41,seton,101,mid,-98.27,36.01
184426,occ,5441.0,,18074,Gomphotherium obscurum,species,46693,,Gomphotherium obscurum,species,47940,Clarendonian,,13.6,10.3,6294,Chordata,Mammalia,Proboscidea,Mammutidae,Mammut,-100.800003,35.0,US,Texas,Donley,based on political unit,1,small collection,Barton Creek,gplates,101,mid,-96.15,37.71,scotese,101,mid,-98.3,35.46,seton,101,mid,-98.07,34.95
184456,occ,5452.0,,18077,Gomphotherium willistoni,species,46708,subjective synonym of,Trilophodon osborni,species,52204,Barstovian,Clarendonian,15.97,10.3,6294,Chordata,Mammalia,Proboscidea,Gomphotheriidae,Gomphotherium,-100.800003,42.799999,US,Nebraska,Cherry,based on political unit,1,small collection,,gplates,101,mid,-95.57,45.5,scotese,101,mid,-98.16,43.26,seton,101,mid,-97.66,42.74
184473,occ,,,18078,Gomphotherium sp.,genus,43247,,Gomphotherium,genus,43247,Clarendonian,,13.6,10.3,3564,Chordata,Mammalia,Proboscidea,Gomphotheriidae,Gomphotherium,-100.800003,42.799999,US,Nebraska,Cherry,based on political unit,1,small collection,,gplates,101,mid,-95.57,45.5,scotese,101,mid,-98.16,43.26,seton,101,mid,-97.66,42.74
184503,occ,,,18082,Gomphotherium sp.,genus,43247,,Gomphotherium,genus,43247,Clarendonian,,13.6,10.3,3510,Chordata,Mammalia,Proboscidea,Gomphotheriidae,Gomphotherium,-99.699997,42.799999,US,Nebraska,Keya Paha,based on political unit,1,small collection,,gplates,101,mid,-94.42,45.45,scotese,101,mid,-97.06,43.25,seton,101,mid,-96.56,42.71
184543,occ,,,18086,Amebelodon n. sp. fricki,species,43966,,Amebelodon fricki,species,43966,Hemphillian,,10.3,4.9,3510,Chordata,Mammalia,Proboscidea,Gomphotheriidae,Amebelodon,-100.5,40.5,US,Nebraska,Frontier,based on political unit,1,,"Keith's Farm, near Freedom",gplates,101,mid,-97.22,42.35,scotese,101,mid,-98.76,40.81,seton,101,mid,-98.51,40.42
184593,occ,,,18090,Gomphotherium sp.,genus,43247,,Gomphotherium,genus,43247,Barstovian,,15.97,13.6,3510,Chordata,Mammalia,Proboscidea,Gomphotheriidae,Gomphotherium,-100.0,42.700001,US,Nebraska,Brown,based on political unit,1,small collection,,gplates,101,mid,-93.24,45.91,scotese,101,mid,-96.71,43.26,seton,101,mid,-95.98,42.66
184631,occ,,,18093,Rhynchotherium ? sp.,genus,43256,,Rhynchotherium,genus,43256,Late Hemphillian,,10.3,4.9,6209,Chordata,Mammalia,Proboscidea,Gomphotheriidae,Rhynchotherium,-101.300003,35.0,US,Texas,Armstrong,based on political unit,1,,"Horseshoe Canyon, SW of Claude",gplates,101,mid,-98.3,36.88,scotese,101,mid,-99.62,35.32,seton,101,mid,-99.5,34.94
184702,occ,,,18097,Rhynchotherium ? sp.,genus,43256,,Rhynchotherium,genus,43256,Hemphillian,,10.3,4.9,6209,Chordata,Mammalia,Proboscidea,Gomphotheriidae,Rhynchotherium,-100.199997,35.900002,US,Texas,Hemphill,based on political unit,1,,,gplates,101,mid,-97.13,37.75,scotese,101,mid,-98.51,36.21,seton,101,mid,-98.37,35.81
184763,occ,,,18106,Gomphotherium sp.,genus,43247,,Gomphotherium,genus,43247,Clarendonian,,13.6,10.3,3564,Chordata,Mammalia,Proboscidea,Gomphotheriidae,Gomphotherium,-100.800003,42.799999,US,Nebraska,Cherry,based on political unit,1,small collection,,gplates,101,mid,-95.57,45.5,scotese,101,mid,-98.16,43.26,seton,101,mid,-97.66,42.74
184800,occ,,,18110,Rhynchotherium ? sp.,genus,43256,,Rhynchotherium,genus,43256,Late Hemphillian,,10.3,4.9,6209,Chordata,Mammalia,Proboscidea,Gomphotheriidae,Rhynchotherium,-101.900002,35.0,US,Texas,Randall,based on political unit,1,small collection,,gplates,101,mid,-98.91,36.89,scotese,101,mid,-100.23,35.32,seton,101,mid,-100.1,34.95
184821,occ,,,18117,Gomphotherium sp.,genus,43247,,Gomphotherium,genus,43247,Barstovian,,15.97,13.6,1791,Chordata,Mammalia,Proboscidea,Gomphotheriidae,Gomphotherium,-101.800003,43.200001,US,South Dakota,Bennett,based on political unit,1,small collection,,gplates,101,mid,-95.08,46.51,scotese,101,mid,-98.52,43.79,seton,101,mid,-97.74,43.23
184887,occ,,,18124,Gomphotherium sp.,genus,43247,,Gomphotherium,genus,43247,Barstovian,,15.97,13.6,6193,Chordata,Mammalia,Proboscidea,Gomphotheriidae,Gomphotherium,-100.0,42.700001,US,Nebraska,Brown,based on political unit,1,small collection,Dutch Creek,gplates,101,mid,-93.24,45.91,scotese,101,mid,-96.71,43.26,seton,101,mid,-95.98,42.66
185058,occ,5627.0,,18141,Gomphotherium sp.,genus,43247,,Gomphotherium,genus,43247,Barstovian,,15.97,13.6,3510,Chordata,Mammalia,Proboscidea,Gomphotheriidae,Gomphotherium,-100.050499,42.806099,US,Nebraska,Brown,stated in text,4,small collection,SE corner NE 1/4 SW 1/4 sec 29 T33N R23W,gplates,101,mid,-93.28,46.01,scotese,101,mid,-96.76,43.37,seton,101,mid,-96.03,42.77
185082,occ,,,18147,Eubelodon morrilli,species,46347,,Eubelodon morrilli,species,46347,Clarendonian,,13.6,10.3,6193,Chordata,Mammalia,Proboscidea,Gomphotheriidae,Eubelodon,-100.0,42.700001,US,Nebraska,Brown,based on political unit,1,small collection,,gplates,101,mid,-94.74,45.36,scotese,101,mid,-97.36,43.15,seton,101,mid,-96.86,42.61
185109,occ,,,18157,Gomphotherium sp.,genus,43247,,Gomphotherium,genus,43247,Clarendonian,,13.6,10.3,3564,Chordata,Mammalia,Proboscidea,Gomphotheriidae,Gomphotherium,-100.800003,42.799999,US,Nebraska,Cherry,based on political unit,1,small collection,,gplates,101,mid,-95.57,45.5,scotese,101,mid,-98.16,43.26,seton,101,mid,-97.66,42.74
185191,occ,5663.0,,18164,Gomphotherium cf. willistoni,species,46708,subjective synonym of,Trilophodon osborni,species,52204,Barstovian,,15.97,13.6,6294,Chordata,Mammalia,Proboscidea,Gomphotheriidae,Gomphotherium,-98.800003,42.900002,US,Nebraska,Boyd,based on political unit,1,small collection,,gplates,101,mid,-91.95,46.04,scotese,101,mid,-95.5,43.45,seton,101,mid,-94.77,42.81
185275,occ,,,18176,Gomphotherium sp.,genus,43247,,Gomphotherium,genus,43247,Clarendonian,,13.6,10.3,3564,Chordata,Mammalia,Proboscidea,Gomphotheriidae,Gomphotherium,-100.800003,42.799999,US,Nebraska,Cherry,based on political unit,1,small collection,,gplates,101,mid,-95.57,45.5,scotese,101,mid,-98.16,43.26,seton,101,mid,-97.66,42.74
185322,occ,,,18185,Gomphotherium ? sp.,genus,43247,,Gomphotherium,genus,43247,Miocene,,23.03,5.333,3356,Chordata,Mammalia,Proboscidea,Gomphotheriidae,Gomphotherium,-99.300003,43.299999,US,South Dakota,Gregory,based on political unit,1,small collection,,gplates,101,mid,-92.94,46.29,scotese,101,mid,-96.21,43.82,seton,101,mid,-95.54,43.22
185374,occ,5718.0,,18192,Gomphotherium cf. willistoni,species,46708,subjective synonym of,Trilophodon osborni,species,52204,Barstovian,,15.97,13.6,6294,Chordata,Mammalia,Proboscidea,Gomphotheriidae,Gomphotherium,-101.099998,40.200001,US,Nebraska,Hitchcock,based on political unit,1,small collection,Driftwood Creek,gplates,101,mid,-94.66,43.47,scotese,101,mid,-97.89,40.78,seton,101,mid,-97.26,40.21
185375,occ,,,18192,Zygolophodon sp.,genus,43277,,Zygolophodon,genus,95509,Barstovian,,15.97,13.6,3510,Chordata,Mammalia,Proboscidea,Mammutidae,Zygolophodon,-101.099998,40.200001,US,Nebraska,Hitchcock,based on political unit,1,small collection,Driftwood Creek,gplates,101,mid,-94.66,43.47,scotese,101,mid,-97.89,40.78,seton,101,mid,-97.26,40.21
185397,occ,,,18194,Gomphotherium sp.,genus,43247,,Gomphotherium,genus,43247,Clarendonian,,13.6,10.3,3564,Chordata,Mammalia,Proboscidea,Gomphotheriidae,Gomphotherium,-100.800003,42.799999,US,Nebraska,Cherry,based on political unit,1,small collection,,gplates,101,mid,-95.57,45.5,scotese,101,mid,-98.16,43.26,seton,101,mid,-97.66,42.74
185422,occ,5737.0,,18198,Amebelodon floridanus,species,43965,,Amebelodon floridanus,species,47934,Hemphillian,,10.3,4.9,6294,Chordata,Mammalia,Proboscidea,Gomphotheriidae,Amebelodon,-100.099998,36.099998,US,Texas,Lipscomb,based on political unit,1,local area,two quarries 4 km south-southeast of Higgins,gplates,101,mid,-97.02,37.94,scotese,101,mid,-98.41,36.41,seton,101,mid,-98.27,36.01
185436,occ,,,18199,Gomphotherium sp.,genus,43247,,Gomphotherium,genus,43247,Barstovian,,15.97,13.6,3510,Chordata,Mammalia,Proboscidea,Gomphotheriidae,Gomphotherium,-99.699997,42.799999,US,Nebraska,Keya Paha,based on political unit,1,small collection,,gplates,101,mid,-92.91,45.99,scotese,101,mid,-96.41,43.36,seton,101,mid,-95.68,42.75
185496,occ,5753.0,,18203,Zygolophodon sp.,genus,43277,,Zygolophodon,genus,95509,Barstovian,,15.97,13.6,6294,Chordata,Mammalia,Proboscidea,Mammutidae,Zygolophodon,-104.199997,40.799999,US,Colorado,Weld,based on political unit,1,small collection,Pawnee Buttes,gplates,101,mid,-97.86,44.24,scotese,101,mid,-101.0,41.42,seton,101,mid,-100.32,40.93
185502,occ,,,18204,Eubelodon morrilli,species,46347,,Eubelodon morrilli,species,46347,Clarendonian,,13.6,10.3,6193,Chordata,Mammalia,Proboscidea,Gomphotheriidae,Eubelodon,-100.0,42.700001,US,Nebraska,Brown,based on political unit,1,,,gplates,101,mid,-94.74,45.36,scotese,101,mid,-97.36,43.15,seton,101,mid,-96.86,42.61
185516,occ,5758.0,,18206,Gomphotherium cf. willistoni,species,46708,subjective synonym of,Trilophodon osborni,species,52204,Barstovian,,15.97,13.6,6294,Chordata,Mammalia,Proboscidea,Gomphotheriidae,Gomphotherium,-103.800003,41.5,US,Nebraska,Banner,based on political unit,1,small collection,,gplates,101,mid,-97.37,44.92,scotese,101,mid,-100.58,42.12,seton,101,mid,-99.87,41.61
185564,occ,,,18208,Gomphotherium sp.,genus,43247,,Gomphotherium,genus,43247,Barstovian,,15.97,13.6,781,Chordata,Mammalia,Proboscidea,Gomphotheriidae,Gomphotherium,-103.800003,41.5,US,Nebraska,Banner,based on political unit,1,small collection,,gplates,101,mid,-97.37,44.92,scotese,101,mid,-100.58,42.12,seton,101,mid,-99.87,41.61
185599,occ,5782.0,,18209,Gomphotherium cf. willistoni,species,46708,subjective synonym of,Trilophodon osborni,species,52204,Barstovian,,15.97,13.6,6294,Chordata,Mammalia,Proboscidea,Gomphotheriidae,Gomphotherium,-98.800003,42.900002,US,Nebraska,Boyd,based on political unit,1,small collection,,gplates,101,mid,-91.95,46.04,scotese,101,mid,-95.5,43.45,seton,101,mid,-94.77,42.81
185628,occ,,,18213,Gomphotherium sp.,genus,43247,,Gomphotherium,genus,43247,Miocene,,23.03,5.333,3510,Chordata,Mammalia,Proboscidea,Gomphotheriidae,Gomphotherium,-100.0,42.700001,US,Nebraska,Brown,based on political unit,1,small collection,,gplates,101,mid,-93.74,45.73,scotese,101,mid,-96.93,43.23,seton,101,mid,-96.28,42.65
185717,occ,19677.0,,18221,Serbelodon sp.,genus,43257,,Serbelodon,genus,43257,Clarendonian,,13.6,10.3,25376,Chordata,Mammalia,Proboscidea,Gomphotheriidae,Serbelodon,-103.099998,41.700001,US,Nebraska,Morrill,based on political unit,1,small collection,,gplates,101,mid,-98.06,44.5,scotese,101,mid,-100.5,42.18,seton,101,mid,-100.02,41.72
185718,occ,19678.0,,18221,Pediolophodon sp.,genus,108776,,Pediolophodon,genus,108776,Clarendonian,,13.6,10.3,25376,Chordata,Mammalia,Proboscidea,Gomphotheriidae,Pediolophodon,-103.099998,41.700001,US,Nebraska,Morrill,based on political unit,1,small collection,,gplates,101,mid,-98.06,44.5,scotese,101,mid,-100.5,42.18,seton,101,mid,-100.02,41.72
185737,occ,5819.0,,18222,Gomphotherium sp.,genus,43247,,Gomphotherium,genus,43247,Clarendonian,,13.6,10.3,6294,Chordata,Mammalia,Proboscidea,Gomphotheriidae,Gomphotherium,-103.800003,42.400002,US,Nebraska,Sioux,based on political unit,1,small collection,Olcott Hill,gplates,101,mid,-98.74,45.23,scotese,101,mid,-101.19,42.89,seton,101,mid,-100.68,42.44
185821,occ,,,18230,Gomphotherium sp.,genus,43247,,Gomphotherium,genus,43247,Clarendonian,,13.6,10.3,3564,Chordata,Mammalia,Proboscidea,Gomphotheriidae,Gomphotherium,-100.800003,42.799999,US,Nebraska,Cherry,based on political unit,1,small collection,,gplates,101,mid,-95.57,45.5,scotese,101,mid,-98.16,43.26,seton,101,mid,-97.66,42.74
185839,occ,,,18233,Gomphotherium sp.,genus,43247,,Gomphotherium,genus,43247,Clarendonian,,13.6,10.3,3564,Chordata,Mammalia,Proboscidea,Gomphotheriidae,Gomphotherium,-100.800003,42.799999,US,Nebraska,Cherry,based on political unit,1,small collection,,gplates,101,mid,-95.57,45.5,scotese,101,mid,-98.16,43.26,seton,101,mid,-97.66,42.74
185874,occ,5856.0,,18236,Serbelodon cf. barbourensis,species,51515,,Serbelodon barbourensis,species,51515,Clarendonian,Hemphillian,13.6,4.9,6294,Chordata,Mammalia,Proboscidea,Gomphotheriidae,Serbelodon,-101.800003,41.200001,US,Nebraska,Keith,based on political unit,1,small collection,,gplates,101,mid,-98.1,43.31,scotese,101,mid,-99.84,41.56,seton,101,mid,-99.54,41.13
185893,occ,5861.0,,18237,Gomphotherium sp.,genus,43247,,Gomphotherium,genus,43247,Hemphillian,,10.3,4.9,6294,Chordata,Mammalia,Proboscidea,Gomphotheriidae,Gomphotherium,-99.400002,39.799999,US,Kansas,Phillips,based on political unit,1,small collection,,gplates,101,mid,-96.13,41.62,scotese,101,mid,-97.67,40.1,seton,101,mid,-97.44,39.7
185938,occ,,,18243,Gomphotherium sp.,genus,43247,,Gomphotherium,genus,43247,Clarendonian,,13.6,10.3,3564,Chordata,Mammalia,Proboscidea,Gomphotheriidae,Gomphotherium,-100.800003,42.799999,US,Nebraska,Cherry,based on political unit,1,small collection,,gplates,101,mid,-95.57,45.5,scotese,101,mid,-98.16,43.26,seton,101,mid,-97.66,42.74
