sampleID,condition,replicate
THZ531_T1,THZ531,1
THZ531_T2,THZ531,2
NVP2_T1,NVP2,1
NVP2_T2,NVP2,2
THZ1_T1,THZ1,1
THZ1_T2,THZ1,2
DMSO_C1,DMSO,1
DMSO_C2,DMSO,2
S3_THZ531_T1,S3_THZ531,1
S3_THZ531_T2,S3_THZ531,2
S3_DMSO_C1,S3_DMSO,1
S3_DMSO_C2,S3_DMSO,2
